beta (β), betay (β_y), and betaz (β_z) 
Latitude is planetocentric and pressure unit is mbar
Unit of beta, betay, and betaz is 1e-12 1/(s*m) 
Data in each pressure level with varying latitude is saved 

Pressure level 508.1449 mbar
pressure latitude     beta      betay     betaz
  225.45   37.00      4.551    -6.668     0.098
  225.45   38.00      4.499    -4.900    -3.832
  225.45   39.00      4.445     0.257    -8.220
  225.45   40.00      4.389     7.021   -12.120
  225.45   41.00      4.332    12.302   -13.434
  225.45   42.00      4.273    15.540   -11.955
  225.45   43.00      4.213     9.034    -9.607
  225.45   44.00      4.151     1.243    -7.148
  225.45   45.00      4.088    -4.979    -4.647
  225.45   46.00      4.023    -1.328    -2.845
  225.45   47.00      3.957    -6.316    -0.815
  225.45   48.00      3.889    -3.076    -0.096
  225.45   49.00      3.820    -5.590    -0.111
  225.45   50.00      3.749    -4.989     0.516
  225.45   51.00      3.677    -5.222     2.599
  225.45   52.00      3.603    -4.185     3.644
  225.45   53.00      3.528    -1.657     2.480
  225.45   54.00      3.452     1.879     0.393
  225.45   55.00      3.374     5.049    -0.779
  225.45   56.00      3.295     7.270    -0.721
  225.45   57.00      3.214     3.861    -0.942
  225.45   58.00      3.132    -2.364    -1.515
  225.45   59.00      3.049    -1.575    -1.076
  225.45   60.00      2.964     1.373     0.252
  225.45   61.00      2.878     5.725     1.179
  225.45   62.00      2.791     9.913     0.619
  225.45   63.00      2.703     4.425    -1.420
  225.45   64.00      2.613    -4.199    -4.552
  225.45   65.00      2.523    -1.822    -7.120
  225.45   66.00      2.431    -3.139    -7.487
  225.45   67.00      2.338    -4.767    -7.554
  225.45   68.00      2.244    -2.726    -6.149
  225.45   69.00      2.150    -3.695    -3.505
  225.45   70.00      2.054    -4.090    -0.806
  225.45   71.00      1.957    -5.915     0.589
  225.45   72.00      1.859    -4.998     1.260
  225.45   73.00      1.761    -0.094     1.006
  225.45   74.00      1.662     4.216    -0.090
  225.45   75.00      1.562    10.955    -0.520
  225.45   76.00      1.461    13.540     0.806
  225.45   77.00      1.359    -0.992     3.199
  225.45   78.00      1.257    -7.633     5.046
  225.45   79.00      1.155    -3.794     6.632
  225.45   80.00      1.051    -6.749     8.151
  225.45   81.00      0.948    -5.860     7.359
  225.45   82.00      0.843    -1.847     3.934
  225.45   83.00      0.739     1.148    -1.066
  225.45   84.00      0.634     6.538    -4.120
  225.45   85.00      0.529    13.373    -3.119
  225.45   86.00      0.423    11.738     1.384
  225.45   87.00      0.318    12.613     6.712
  225.45   88.00      0.212     6.064    14.894
  225.45   89.00      0.106    -0.485    17.376
  225.45   90.00      0.000    -0.485     0.272

Pressure level 196.8947 mbar
pressure latitude     beta      betay     betaz
  196.89  -90.00      0.000     1.395    -0.135
  196.89  -89.00      0.106     1.395     3.231
  196.89  -88.00      0.212     3.319     2.182
  196.89  -87.00      0.318     3.236     3.147
  196.89  -86.00      0.423     3.153     3.972
  196.89  -85.00      0.529     1.616     4.207
  196.89  -84.00      0.634     2.642     3.074
  196.89  -83.00      0.739    -3.920     1.151
  196.89  -82.00      0.843    -3.779    -0.612
  196.89  -81.00      0.948    -2.615    -1.585
  196.89  -80.00      1.051    -3.892    -1.744
  196.89  -79.00      1.154    -3.250    -1.214
  196.89  -78.00      1.257    -3.241    -0.382
  196.89  -77.00      1.359    -2.829    -0.079
  196.89  -76.00      1.461    -4.113     0.315
  196.89  -75.00      1.561    -5.412     1.413
  196.89  -74.00      1.661    -4.968     2.828
  196.89  -73.00      1.761    -0.513     3.561
  196.89  -72.00      1.859     4.214     4.241
  196.89  -71.00      1.957    12.509     4.327
  196.89  -70.00      2.054    14.893     3.764
  196.89  -69.00      2.149     1.734     3.617
  196.89  -68.00      2.244    -3.389     3.702
  196.89  -67.00      2.338    -2.121     3.905
  196.89  -66.00      2.431    -5.731     3.604
  196.89  -65.00      2.523    -3.843     2.641
  196.89  -64.00      2.613    -4.132     1.663
  196.89  -63.00      2.703    -2.910     1.166
  196.89  -62.00      2.791    -1.969     1.428
  196.89  -61.00      2.878    -4.717     2.068
  196.89  -60.00      2.964    -7.339     2.430
  196.89  -59.00      3.048    -6.275     2.749
  196.89  -58.00      3.132    -4.483     3.068
  196.89  -57.00      3.214     4.577     2.800
  196.89  -56.00      3.294    18.437     1.852
  196.89  -55.00      3.374    13.233     0.816
  196.89  -54.00      3.451     5.037     0.571
  196.89  -53.00      3.528     4.688     1.175
  196.89  -52.00      3.603    -0.245     2.857
  196.89  -51.00      3.677    -3.868     5.813
  196.89  -50.00      3.749    -5.580     8.620
  196.89  -49.00      3.820    -6.912     9.878
  196.89  -48.00      3.889    -7.295     9.119
  196.89  -47.00      3.957    -6.957     5.808
  196.89  -46.00      4.023    -3.911     1.302
  196.89  -45.00      4.088     1.706    -2.671
  196.89  -44.00      4.151     8.008    -5.918
  196.89  -43.00      4.213    12.814    -7.872
  196.89  -42.00      4.273    12.493    -7.787
  196.89  -41.00      4.332     5.134    -5.732
  196.89  -40.00      4.389    -3.095    -1.866
  196.89  -39.00      4.444    -2.628     2.085
  196.89  -38.00      4.498    -4.983     3.744
  196.89  -37.00      4.551    -4.667     3.572
  196.89  -36.00      4.602    -5.335     3.704
  196.89  -35.00      4.651    -5.308     4.397
  196.89  -34.00      4.699    -5.432     5.126
  196.89  -33.00      4.746    -3.394     4.998
  196.89  -32.00      4.791    -1.021     3.497
  196.89  -31.00      4.834     1.857     1.371
  196.89  -30.00      4.876     3.388    -0.625
  196.89  -29.00      4.916     1.762    -2.584
  196.89  -28.00      4.955     3.901    -3.789
  196.89  -27.00      4.993     1.605    -3.264
  196.89  -26.00      5.029    -4.341    -1.311
  196.89  -25.00      5.063    -4.827     0.286
  196.89  -24.00      5.096    -2.622     0.735
  196.89  -23.00      5.128    -1.291     0.675
  196.89  -22.00      5.158    -0.517     0.342
  196.89  -21.00      5.187    -1.679    -0.022
  196.89  -20.00      5.214    -1.378    -0.481
  196.89  -19.00      5.240    -1.525    -1.011
  196.89  -18.00      5.264     0.980    -1.543
  196.89  -17.00      5.287     1.244    -1.877
  196.89  -16.00      5.309     2.891    -1.564
  196.89  -15.00      5.329     0.133    -1.001
  196.89  -14.00      5.348     0.620    -0.963
  196.89  -13.00      5.366     0.190    -1.175
  196.89  -12.00      5.382     1.920    -1.293
  196.89  -11.00      5.397     3.546    -1.434
  196.89  -10.00      5.411     4.243    -1.734
  196.89   -9.00      5.423     4.115    -2.274
  196.89   -8.00      5.434     3.932    -2.873
  196.89   -7.00      5.444     2.105    -3.056
  196.89   -6.00      5.452    -0.177    -2.773
  196.89   -5.00      5.459    -6.630    -2.155
  196.89   -4.00      5.465    -8.750    -1.290
  196.89   -3.00      5.470    -8.027    -0.602
  196.89   -2.00      5.473    -0.957    -0.193
  196.89   -1.00      5.475    13.048    -0.032
  196.89    0.00      5.476    18.712    -0.000
  196.89    1.00      5.475     2.780    -0.069
  196.89    2.00      5.473    -7.191    -0.373
  196.89    3.00      5.470   -15.374    -1.053
  196.89    4.00      5.465    -3.692    -1.785
  196.89    5.00      5.459    -2.763    -2.719
  196.89    6.00      5.452     0.099    -3.266
  196.89    7.00      5.444     4.088    -3.415
  196.89    8.00      5.434     4.605    -2.987
  196.89    9.00      5.423     3.077    -2.182
  196.89   10.00      5.411     4.907    -1.184
  196.89   11.00      5.397     5.685    -0.393
  196.89   12.00      5.382     2.962     0.206
  196.89   13.00      5.366     4.293     0.839
  196.89   14.00      5.348     1.909     1.641
  196.89   15.00      5.329    -2.478     2.663
  196.89   16.00      5.309     0.399     3.683
  196.89   17.00      5.287    -0.580     4.587
  196.89   18.00      5.264     0.035     4.622
  196.89   19.00      5.240    -0.618     3.832
  196.89   20.00      5.214    -0.865     2.755
  196.89   21.00      5.187    -1.377     2.060
  196.89   22.00      5.158    -2.291     1.920
  196.89   23.00      5.128    -1.927     2.175
  196.89   24.00      5.096    -1.858     2.487
  196.89   25.00      5.063    -1.852     2.246
  196.89   26.00      5.029    -1.921     1.191
  196.89   27.00      4.993     1.235    -0.307
  196.89   28.00      4.955     1.332    -1.202
  196.89   29.00      4.916     1.652    -1.134
  196.89   30.00      4.876     4.413    -0.202
  196.89   31.00      4.834     0.503     1.472
  196.89   32.00      4.791    -3.449     3.259
  196.89   33.00      4.746    -4.963     4.899
  196.89   34.00      4.699    -6.758     6.405
  196.89   35.00      4.651    -5.725     7.350
  196.89   36.00      4.602    -6.176     6.835
  196.89   37.00      4.551    -6.596     4.446
  196.89   38.00      4.498    -4.855     0.661
  196.89   39.00      4.444     0.197    -4.322
  196.89   40.00      4.389     6.847    -9.651
  196.89   41.00      4.332    12.059   -13.038
  196.89   42.00      4.273    15.291   -13.070
  196.89   43.00      4.213     8.958   -10.015
  196.89   44.00      4.151     1.343    -5.318
  196.89   45.00      4.088    -4.825    -0.979
  196.89   46.00      4.023    -1.253     1.513
  196.89   47.00      3.957    -6.235     3.210
  196.89   48.00      3.889    -3.057     3.286
  196.89   49.00      3.820    -5.561     2.840
  196.89   50.00      3.749    -4.987     3.188
  196.89   51.00      3.677    -5.197     4.788
  196.89   52.00      3.603    -4.142     5.182
  196.89   53.00      3.528    -1.665     3.394
  196.89   54.00      3.451     1.819     1.207
  196.89   55.00      3.374     5.006     0.597
  196.89   56.00      3.294     7.249     1.220
  196.89   57.00      3.214     3.858     0.962
  196.89   58.00      3.132    -2.352    -0.105
  196.89   59.00      3.048    -1.594    -0.567
  196.89   60.00      2.964     1.350    -0.498
  196.89   61.00      2.878     5.721    -1.216
  196.89   62.00      2.791     9.898    -3.425
  196.89   63.00      2.703     4.368    -6.373
  196.89   64.00      2.613    -4.231    -8.416
  196.89   65.00      2.523    -1.814    -8.022
  196.89   66.00      2.431    -3.071    -4.818
  196.89   67.00      2.338    -4.718    -2.453
  196.89   68.00      2.244    -2.665     0.257
  196.89   69.00      2.149    -3.673     1.818
  196.89   70.00      2.054    -4.092     2.318
  196.89   71.00      1.957    -5.903     1.391
  196.89   72.00      1.859    -4.962    -0.144
  196.89   73.00      1.761    -0.086    -3.135
  196.89   74.00      1.661     4.153    -6.946
  196.89   75.00      1.561    10.836    -8.501
  196.89   76.00      1.461    13.451    -5.866
  196.89   77.00      1.359    -0.990    -0.402
  196.89   78.00      1.257    -7.594     4.857
  196.89   79.00      1.154    -3.732     8.972
  196.89   80.00      1.051    -6.660    11.172
  196.89   81.00      0.948    -5.780     9.151
  196.89   82.00      0.843    -1.810     3.035
  196.89   83.00      0.739     1.128    -5.272
  196.89   84.00      0.634     6.507   -11.610
  196.89   85.00      0.529    13.340   -13.339
  196.89   86.00      0.423    11.667   -10.733
  196.89   87.00      0.318    12.718    -5.127
  196.89   88.00      0.212     5.887     2.562
  196.89   89.00      0.106    -0.945     7.605
  196.89   90.00      0.000    -0.945     0.729

Pressure level 171.9485 mbar
pressure latitude     beta      betay     betaz
  171.95  -90.00      0.000     1.343    -0.068
  171.95  -89.00      0.106     1.343    10.252
  171.95  -88.00      0.212     3.358     6.252
  171.95  -87.00      0.318     3.252     4.112
  171.95  -86.00      0.423     3.146     3.916
  171.95  -85.00      0.529     1.502     3.713
  171.95  -84.00      0.634     2.577     3.161
  171.95  -83.00      0.739    -3.897     2.904
  171.95  -82.00      0.843    -3.708     2.481
  171.95  -81.00      0.947    -2.578     1.833
  171.95  -80.00      1.051    -3.876     1.207
  171.95  -79.00      1.154    -3.217     0.893
  171.95  -78.00      1.257    -3.259    -0.118
  171.95  -77.00      1.359    -2.826    -1.665
  171.95  -76.00      1.461    -4.092    -2.926
  171.95  -75.00      1.561    -5.407    -2.582
  171.95  -74.00      1.661    -5.012    -0.506
  171.95  -73.00      1.761    -0.494     1.843
  171.95  -72.00      1.859     4.217     3.455
  171.95  -71.00      1.957    12.522     3.599
  171.95  -70.00      2.053    14.848     2.523
  171.95  -69.00      2.149     1.689     2.365
  171.95  -68.00      2.244    -3.411     3.272
  171.95  -67.00      2.338    -2.118     5.006
  171.95  -66.00      2.431    -5.712     6.348
  171.95  -65.00      2.522    -3.830     6.632
  171.95  -64.00      2.613    -4.120     6.246
  171.95  -63.00      2.702    -2.899     5.582
  171.95  -62.00      2.791    -1.960     5.361
  171.95  -61.00      2.878    -4.675     5.843
  171.95  -60.00      2.964    -7.262     5.683
  171.95  -59.00      3.048    -6.210     4.340
  171.95  -58.00      3.131    -4.453     2.135
  171.95  -57.00      3.213     4.547    -0.686
  171.95  -56.00      3.294    18.306    -3.146
  171.95  -55.00      3.373    13.110    -4.055
  171.95  -54.00      3.451     4.974    -3.208
  171.95  -53.00      3.528     4.627    -1.291
  171.95  -52.00      3.603    -0.284     2.037
  171.95  -51.00      3.676    -3.867     6.870
  171.95  -50.00      3.749    -5.489    11.575
  171.95  -49.00      3.819    -6.728    14.543
  171.95  -48.00      3.889    -7.125    14.663
  171.95  -47.00      3.956    -6.859    10.659
  171.95  -46.00      4.023    -3.870     3.834
  171.95  -45.00      4.087     1.664    -3.199
  171.95  -44.00      4.151     7.882    -8.723
  171.95  -43.00      4.212    12.677   -11.370
  171.95  -42.00      4.273    12.354   -10.936
  171.95  -41.00      4.331     4.987    -8.155
  171.95  -40.00      4.388    -3.118    -3.297
  171.95  -39.00      4.444    -2.542     1.722
  171.95  -38.00      4.498    -4.914     4.222
  171.95  -37.00      4.551    -4.654     4.886
  171.95  -36.00      4.602    -5.248     5.811
  171.95  -35.00      4.651    -5.208     6.530
  171.95  -34.00      4.699    -5.371     6.529
  171.95  -33.00      4.745    -3.334     5.316
  171.95  -32.00      4.790    -0.997     2.270
  171.95  -31.00      4.834     1.814    -1.080
  171.95  -30.00      4.876     3.278    -3.431
  171.95  -29.00      4.916     1.648    -5.222
  171.95  -28.00      4.955     3.756    -5.700
  171.95  -27.00      4.992     1.433    -4.065
  171.95  -26.00      5.028    -4.386    -0.885
  171.95  -25.00      5.063    -4.731     1.757
  171.95  -24.00      5.096    -2.565     2.745
  171.95  -23.00      5.127    -1.261     2.898
  171.95  -22.00      5.157    -0.515     2.620
  171.95  -21.00      5.186    -1.723     2.292
  171.95  -20.00      5.213    -1.430     1.945
  171.95  -19.00      5.239    -1.427     1.565
  171.95  -18.00      5.264     1.265     1.052
  171.95  -17.00      5.287     1.795     0.235
  171.95  -16.00      5.309     3.295    -0.250
  171.95  -15.00      5.329     0.447    -0.354
  171.95  -14.00      5.348     0.937    -0.874
  171.95  -13.00      5.366     0.457    -1.457
  171.95  -12.00      5.382     1.936    -1.737
  171.95  -11.00      5.397     3.298    -1.958
  171.95  -10.00      5.411     3.925    -2.287
  171.95   -9.00      5.423     3.709    -2.827
  171.95   -8.00      5.434     3.332    -3.242
  171.95   -7.00      5.444     1.506    -3.096
  171.95   -6.00      5.452    -1.751    -2.504
  171.95   -5.00      5.459    -7.614    -1.681
  171.95   -4.00      5.465    -9.203    -0.844
  171.95   -3.00      5.469    -8.376    -0.309
  171.95   -2.00      5.473     0.818    -0.060
  171.95   -1.00      5.474    16.816    -0.004
  171.95    0.00      5.475    18.686    -0.000
  171.95    1.00      5.474     4.333    -0.040
  171.95    2.00      5.473    -6.080    -0.246
  171.95    3.00      5.469   -16.556    -0.804
  171.95    4.00      5.465    -5.749    -1.505
  171.95    5.00      5.459    -2.465    -2.532
  171.95    6.00      5.452    -1.318    -3.471
  171.95    7.00      5.444     3.595    -4.089
  171.95    8.00      5.434     4.210    -4.116
  171.95    9.00      5.423     2.927    -3.496
  171.95   10.00      5.411     5.091    -2.282
  171.95   11.00      5.397     5.906    -0.951
  171.95   12.00      5.382     3.295     0.519
  171.95   13.00      5.366     4.649     2.206
  171.95   14.00      5.348     2.393     3.737
  171.95   15.00      5.329    -1.968     4.991
  171.95   16.00      5.309     0.684     5.794
  171.95   17.00      5.287    -0.370     6.125
  171.95   18.00      5.264    -0.077     5.581
  171.95   19.00      5.239    -0.769     4.452
  171.95   20.00      5.213    -0.990     3.211
  171.95   21.00      5.186    -1.456     2.407
  171.95   22.00      5.157    -2.279     2.158
  171.95   23.00      5.127    -1.861     2.242
  171.95   24.00      5.096    -1.826     2.313
  171.95   25.00      5.063    -1.863     1.928
  171.95   26.00      5.028    -1.963     0.763
  171.95   27.00      4.992     1.111    -0.956
  171.95   28.00      4.955     1.219    -2.242
  171.95   29.00      4.916     1.502    -2.641
  171.95   30.00      4.876     4.279    -1.844
  171.95   31.00      4.834     0.536     0.228
  171.95   32.00      4.790    -3.353     2.638
  171.95   33.00      4.745    -4.808     4.962
  171.95   34.00      4.699    -6.591     7.140
  171.95   35.00      4.651    -5.633     8.517
  171.95   36.00      4.602    -6.103     8.301
  171.95   37.00      4.551    -6.526     6.322
  171.95   38.00      4.498    -4.812     2.910
  171.95   39.00      4.444     0.125    -1.968
  171.95   40.00      4.388     6.669    -7.634
  171.95   41.00      4.331    11.816   -12.047
  171.95   42.00      4.273    15.043   -13.097
  171.95   43.00      4.212     8.897    -9.576
  171.95   44.00      4.151     1.455    -3.262
  171.95   45.00      4.087    -4.675     2.195
  171.95   46.00      4.023    -1.179     4.910
  171.95   47.00      3.956    -6.163     6.056
  171.95   48.00      3.889    -3.042     5.699
  171.95   49.00      3.819    -5.513     5.167
  171.95   50.00      3.749    -4.965     5.167
  171.95   51.00      3.676    -5.180     5.854
  171.95   52.00      3.603    -4.114     5.508
  171.95   53.00      3.528    -1.678     3.423
  171.95   54.00      3.451     1.763     1.243
  171.95   55.00      3.373     4.967     0.780
  171.95   56.00      3.294     7.213     1.527
  171.95   57.00      3.213     3.843     1.358
  171.95   58.00      3.131    -2.332     0.255
  171.95   59.00      3.048    -1.614    -0.747
  171.95   60.00      2.964     1.309    -1.423
  171.95   61.00      2.878     5.699    -2.924
  171.95   62.00      2.791     9.875    -5.659
  171.95   63.00      2.702     4.318    -8.509
  171.95   64.00      2.613    -4.239    -8.989
  171.95   65.00      2.522    -1.777    -6.149
  171.95   66.00      2.431    -3.004    -0.932
  171.95   67.00      2.338    -4.657     2.556
  171.95   68.00      2.244    -2.602     5.395
  171.95   69.00      2.149    -3.656     5.648
  171.95   70.00      2.053    -4.108     4.284
  171.95   71.00      1.957    -5.895     1.874
  171.95   72.00      1.859    -4.931    -0.902
  171.95   73.00      1.761    -0.084    -5.507
  171.95   74.00      1.661     4.095   -11.282
  171.95   75.00      1.561    10.730   -14.253
  171.95   76.00      1.461    13.373   -11.543
  171.95   77.00      1.359    -0.987    -4.133
  171.95   78.00      1.257    -7.559     3.854
  171.95   79.00      1.154    -3.678    10.111
  171.95   80.00      1.051    -6.592    12.893
  171.95   81.00      0.947    -5.719    10.126
  171.95   82.00      0.843    -1.783     2.317
  171.95   83.00      0.739     1.119    -8.057
  171.95   84.00      0.634     6.505   -17.201
  171.95   85.00      0.529    13.327   -23.037
  171.95   86.00      0.423    11.600   -25.961
  171.95   87.00      0.318    12.842   -25.540
  171.95   88.00      0.212     5.733   -26.826
  171.95   89.00      0.106    -1.375   -32.885
  171.95   90.00      0.000    -1.375     0.035

Pressure level 150.1636 mbar
pressure latitude     beta      betay     betaz
  150.16  -90.00      0.000     1.222    -0.013
  150.16  -89.00      0.106     1.222    14.851
  150.16  -88.00      0.212     3.415     7.978
  150.16  -87.00      0.318     3.277     3.234
  150.16  -86.00      0.423     3.139     1.547
  150.16  -85.00      0.529     1.370     0.581
  150.16  -84.00      0.634     2.512     0.841
  150.16  -83.00      0.739    -3.874     2.722
  150.16  -82.00      0.843    -3.632     4.219
  150.16  -81.00      0.947    -2.537     4.390
  150.16  -80.00      1.051    -3.852     3.676
  150.16  -79.00      1.154    -3.196     2.617
  150.16  -78.00      1.257    -3.289     0.219
  150.16  -77.00      1.359    -2.820    -2.256
  150.16  -76.00      1.460    -4.040    -4.190
  150.16  -75.00      1.561    -5.366    -4.429
  150.16  -74.00      1.661    -5.050    -2.649
  150.16  -73.00      1.761    -0.487    -0.185
  150.16  -72.00      1.859     4.190     1.401
  150.16  -71.00      1.957    12.510     1.644
  150.16  -70.00      2.053    14.815     0.885
  150.16  -69.00      2.149     1.660     1.261
  150.16  -68.00      2.244    -3.419     2.903
  150.16  -67.00      2.338    -2.124     5.557
  150.16  -66.00      2.431    -5.712     8.155
  150.16  -65.00      2.522    -3.828     9.845
  150.16  -64.00      2.613    -4.111    10.594
  150.16  -63.00      2.702    -2.876    10.468
  150.16  -62.00      2.791    -1.934    10.202
  150.16  -61.00      2.878    -4.640    10.428
  150.16  -60.00      2.963    -7.201     9.359
  150.16  -59.00      3.048    -6.157     5.543
  150.16  -58.00      3.131    -4.433    -0.266
  150.16  -57.00      3.213     4.522    -6.192
  150.16  -56.00      3.294    18.192    -9.674
  150.16  -55.00      3.373    13.005    -9.405
  150.16  -54.00      3.451     4.922    -6.693
  150.16  -53.00      3.527     4.589    -3.152
  150.16  -52.00      3.603    -0.291     1.488
  150.16  -51.00      3.676    -3.863     7.270
  150.16  -50.00      3.748    -5.420    12.936
  150.16  -49.00      3.819    -6.586    16.938
  150.16  -48.00      3.888    -7.031    17.640
  150.16  -47.00      3.956    -6.817    13.645
  150.16  -46.00      4.022    -3.836     5.928
  150.16  -45.00      4.087     1.644    -2.836
  150.16  -44.00      4.150     7.802    -9.482
  150.16  -43.00      4.212    12.597   -12.082
  150.16  -42.00      4.272    12.263   -11.268
  150.16  -41.00      4.331     4.890    -8.263
  150.16  -40.00      4.388    -3.127    -3.397
  150.16  -39.00      4.444    -2.511     1.492
  150.16  -38.00      4.498    -4.888     3.986
  150.16  -37.00      4.550    -4.630     4.988
  150.16  -36.00      4.601    -5.158     6.175
  150.16  -35.00      4.651    -5.123     6.494
  150.16  -34.00      4.699    -5.345     5.618
  150.16  -33.00      4.745    -3.327     3.662
  150.16  -32.00      4.790    -0.983     0.076
  150.16  -31.00      4.833     1.796    -3.492
  150.16  -30.00      4.875     3.168    -5.718
  150.16  -29.00      4.916     1.558    -6.862
  150.16  -28.00      4.954     3.679    -6.407
  150.16  -27.00      4.992     1.322    -4.046
  150.16  -26.00      5.028    -4.441    -0.343
  150.16  -25.00      5.062    -4.691     2.857
  150.16  -24.00      5.095    -2.537     4.311
  150.16  -23.00      5.127    -1.247     4.818
  150.16  -22.00      5.157    -0.510     4.893
  150.16  -21.00      5.186    -1.768     4.935
  150.16  -20.00      5.213    -1.480     5.084
  150.16  -19.00      5.239    -1.322     5.294
  150.16  -18.00      5.263     1.537     5.251
  150.16  -17.00      5.286     2.375     4.351
  150.16  -16.00      5.308     3.702     2.875
  150.16  -15.00      5.329     0.644     1.436
  150.16  -14.00      5.348     1.182    -0.267
  150.16  -13.00      5.365     0.748    -1.860
  150.16  -12.00      5.381     2.000    -2.965
  150.16  -11.00      5.396     3.089    -3.676
  150.16  -10.00      5.410     3.542    -4.121
  150.16   -9.00      5.422     3.203    -4.457
  150.16   -8.00      5.433     2.736    -4.333
  150.16   -7.00      5.443     0.975    -3.593
  150.16   -6.00      5.451    -3.290    -2.552
  150.16   -5.00      5.459    -8.278    -1.453
  150.16   -4.00      5.464    -9.543    -0.583
  150.16   -3.00      5.469    -8.705    -0.126
  150.16   -2.00      5.472     2.490     0.027
  150.16   -1.00      5.474    18.712     0.015
  150.16    0.00      5.475    16.548    -0.000
  150.16    1.00      5.474     6.483    -0.018
  150.16    2.00      5.472    -4.975    -0.152
  150.16    3.00      5.469   -16.872    -0.612
  150.16    4.00      5.464    -8.210    -1.301
  150.16    5.00      5.459    -1.758    -2.375
  150.16    6.00      5.451    -2.750    -3.661
  150.16    7.00      5.443     3.150    -4.767
  150.16    8.00      5.433     3.817    -5.368
  150.16    9.00      5.422     2.769    -5.066
  150.16   10.00      5.410     5.184    -3.602
  150.16   11.00      5.396     6.061    -1.394
  150.16   12.00      5.381     3.568     1.403
  150.16   13.00      5.365     4.902     4.405
  150.16   14.00      5.348     2.797     6.719
  150.16   15.00      5.329    -1.496     7.992
  150.16   16.00      5.308     0.956     8.236
  150.16   17.00      5.286    -0.185     7.689
  150.16   18.00      5.263    -0.213     6.424
  150.16   19.00      5.239    -0.909     5.043
  150.16   20.00      5.213    -1.074     3.873
  150.16   21.00      5.186    -1.495     3.199
  150.16   22.00      5.157    -2.238     2.994
  150.16   23.00      5.127    -1.784     2.922
  150.16   24.00      5.095    -1.809     2.606
  150.16   25.00      5.062    -1.908     1.880
  150.16   26.00      5.028    -2.029     0.580
  150.16   27.00      4.992     0.991    -1.145
  150.16   28.00      4.954     1.129    -2.474
  150.16   29.00      4.916     1.372    -3.051
  150.16   30.00      4.875     4.163    -2.267
  150.16   31.00      4.833     0.574     0.155
  150.16   32.00      4.790    -3.256     2.983
  150.16   33.00      4.745    -4.642     5.575
  150.16   34.00      4.699    -6.420     7.767
  150.16   35.00      4.651    -5.564     8.841
  150.16   36.00      4.601    -6.053     8.406
  150.16   37.00      4.550    -6.465     6.568
  150.16   38.00      4.498    -4.782     3.435
  150.16   39.00      4.444     0.031    -1.102
  150.16   40.00      4.388     6.488    -6.492
  150.16   41.00      4.331    11.593   -11.062
  150.16   42.00      4.272    14.834   -12.353
  150.16   43.00      4.212     8.870    -8.285
  150.16   44.00      4.150     1.566    -0.995
  150.16   45.00      4.087    -4.550     4.860
  150.16   46.00      4.022    -1.121     7.383
  150.16   47.00      3.956    -6.099     7.943
  150.16   48.00      3.888    -3.025     7.319
  150.16   49.00      3.819    -5.445     6.889
  150.16   50.00      3.748    -4.927     6.483
  150.16   51.00      3.676    -5.172     6.080
  150.16   52.00      3.603    -4.102     4.965
  150.16   53.00      3.527    -1.694     2.617
  150.16   54.00      3.451     1.718     0.222
  150.16   55.00      3.373     4.935    -0.643
  150.16   56.00      3.294     7.156    -0.330
  150.16   57.00      3.213     3.811    -0.367
  150.16   58.00      3.131    -2.307    -1.121
  150.16   59.00      3.048    -1.636    -2.206
  150.16   60.00      2.963     1.248    -3.061
  150.16   61.00      2.878     5.660    -4.281
  150.16   62.00      2.791     9.855    -6.022
  150.16   63.00      2.702     4.294    -7.265
  150.16   64.00      2.613    -4.209    -5.736
  150.16   65.00      2.522    -1.711    -1.569
  150.16   66.00      2.431    -2.949     3.724
  150.16   67.00      2.338    -4.592     6.971
  150.16   68.00      2.244    -2.555     8.924
  150.16   69.00      2.149    -3.653     7.960
  150.16   70.00      2.053    -4.139     5.297
  150.16   71.00      1.957    -5.888     2.150
  150.16   72.00      1.859    -4.911    -1.126
  150.16   73.00      1.761    -0.091    -6.188
  150.16   74.00      1.661     4.054   -12.495
  150.16   75.00      1.561    10.656   -16.175
  150.16   76.00      1.460    13.321   -14.074
  150.16   77.00      1.359    -0.979    -6.618
  150.16   78.00      1.257    -7.532     1.913
  150.16   79.00      1.154    -3.644     8.663
  150.16   80.00      1.051    -6.561    11.498
  150.16   81.00      0.947    -5.692     8.828
  150.16   82.00      0.843    -1.774     1.317
  150.16   83.00      0.739     1.120    -8.714
  150.16   84.00      0.634     6.533   -18.449
  150.16   85.00      0.529    13.338   -27.215
  150.16   86.00      0.423    11.550   -35.926
  150.16   87.00      0.318    12.945   -43.101
  150.16   88.00      0.212     5.660   -46.000
  150.16   89.00      0.106    -1.624   -46.000
  150.16   90.00      0.000    -1.624    -2.838

Pressure level 131.1449 mbar
pressure latitude     beta      betay     betaz
  131.14  -90.00      0.000     1.011     0.002
  131.14  -89.00      0.106     1.011    11.741
  131.14  -88.00      0.212     3.488     4.147
  131.14  -87.00      0.318     3.311    -1.219
  131.14  -86.00      0.423     3.134    -4.081
  131.14  -85.00      0.529     1.242    -5.474
  131.14  -84.00      0.634     2.465    -3.979
  131.14  -83.00      0.739    -3.858    -0.168
  131.14  -82.00      0.843    -3.572     3.059
  131.14  -81.00      0.947    -2.506     4.217
  131.14  -80.00      1.051    -3.831     3.940
  131.14  -79.00      1.154    -3.197     2.829
  131.14  -78.00      1.257    -3.326     0.684
  131.14  -77.00      1.359    -2.805    -0.674
